gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Justine,Morin,7668,Avenue Debrousse,Dunkerque,Sarthe,France,81553,67.3240,82.7665,+7:00,"Bangkok, Hanoi, Jakarta",justine.morin@example.com,7b5cc05d-c867-4732-a8ea-50fa371cec63,redfrog150,unbelievable,IACBmijH,063c10ff5870d5f2aecdd90b15203e33,7163861712ebd85570b0ada679e1f141b1122098,564b80766295fb36a8ed52f39db930350aebba5e6ccb44fa622dce9ad3f4079b,1999-07-13T18:54:30.105Z,24,2015-07-21T14:02:53.276Z,8,03-18-87-42-18,06-77-34-72-87,INSEE,2990627795001 53,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,FR
male,Mr,Lenny,Lefevre,4998,Rue Duguesclin,Aix-En-Provence,Bas-Rhin,France,51595,-71.3337,134.9484,+8:00,"Beijing, Perth, Singapore, Hong Kong",lenny.lefevre@example.com,bb56c3dc-4cbf-4910-a007-8d7d017f037e,yellowfish289,merlot,7anE5mT4,f08855f86b9e0a481d251618a5596c1a,8b4f680b836ac39e49ca4e08a95ee840eac0e0f0,351298e448e75d5f5ab21c6bd27882ba9c25093cce5a4e4c8aac190638de41fe,1966-03-13T10:21:30.461Z,58,2018-05-28T20:25:44.326Z,6,02-53-77-50-06,06-02-60-04-18,INSEE,1660255536584 36,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,FR
female,Miss,Chloé,Brun,609,Avenue Paul Eluard,Caen,Cantal,France,14069,-52.3635,84.9047,+9:30,"Adelaide, Darwin",chloe.brun@example.com,e9f436c8-495b-4c80-9a13-a0061e8886a8,smallelephant191,jupiter,LUL3nQuT,53b43cd1870e9add55712b59069b4998,cb806d8ac957977d262c05b7df4bfb08530223fe,30dd2628d8c14564319aa7059f748c5a7db5d51fd60ba6a49e68de2d18c0a322,1984-08-15T02:09:04.149Z,39,2016-01-03T01:09:20.895Z,8,02-58-72-37-16,06-07-10-84-86,INSEE,2840756550139 55,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,FR
female,Mrs,Lisa,Fleury,6476,Boulevard de la Duchère,Lille,Pyrénées-Atlantiques,France,78796,54.7829,-17.9734,-10:00,Hawaii,lisa.fleury@example.com,af313e01-3209-4c9e-ba5b-7c41baf48db3,angrydog499,woofwoof,sJLWDDAk,48e6a1303fe1ea2040715388a030190a,34e5719b6da533b82d7ffe307ce59232c2851dd2,63526bb698de9177caaec85e0fb595a2ceb603f9507afbfe8db2331db6a36673,1974-07-31T11:37:20.661Z,49,2018-06-18T08:41:21.109Z,5,02-66-23-17-34,06-82-30-10-57,INSEE,2740699281199 06,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,FR
female,Ms,Constance,Menard,4984,Rue Dubois,Strasbourg,Maine-et-Loire,France,75794,-25.4362,98.1557,-2:00,Mid-Atlantic,constance.menard@example.com,1a0c10e7-eb89-4880-a6e9-884a1a26cc49,goldenwolf145,absolute,PI6d1fDN,d3528d1c29d7df992115d7b4cd547d9b,8f3b458922cc09d42beca91fdc22d6b46fa2d18e,8273d2cabe995c37d2b188a18aa4308b695b7213523a74f4843f141566e344ae,1993-02-05T18:39:12.601Z,31,2017-01-18T10:13:00.776Z,7,05-49-67-15-29,06-12-51-46-88,INSEE,2930189077978 47,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,FR
female,Mrs,Anna,Schmitt,7632,Rue André-Gide,Nancy,Tarn,France,12500,18.5123,102.0795,-12:00,"Eniwetok, Kwajalein",anna.schmitt@example.com,7762f027-8cc5-4aa4-93c6-7e460108bef3,heavyfrog255,bowling,JgUAw8lo,7f4a79468d9168223769dab9ee264cab,6ab156ef84f0fb5160e1fee0e313d95bb473b21a,e9559ae39f4979b603bd6eb2d2b4072503616bf5cda680d9cae3bdbaf77632b6,1952-09-07T06:18:26.106Z,71,2016-11-05T08:26:35.179Z,7,03-69-31-02-05,06-10-64-86-56,INSEE,2520855998345 48,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,FR
male,Mr,Léandro,Meunier,2643,Rue des Écoles,Pau,Paris,France,79601,63.2724,-120.1090,+6:00,"Almaty, Dhaka, Colombo",leandro.meunier@example.com,2ef6b3ab-67dd-49ba-8e0d-17a15e0db0d6,ticklishwolf565,kieran,hAmQcxXD,a982f828e985e74113384ee2514910ba,cb33a3e138e44cbe47c8dc7b2539fcf5c804a811,312eff2b53aa948c62778270fb7bc7f8275958d3a862ac8278217c26ace2b8eb,1995-04-20T03:31:15.515Z,29,2004-09-28T00:21:09.731Z,19,05-20-32-73-69,06-42-24-73-92,INSEE,1950365182859 73,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,FR
female,Mrs,Alice,Meunier,2217,Rue de Gerland,Lyon,Lot-et-Garonne,France,94836,78.0767,62.9655,-7:00,Mountain Time (US & Canada),alice.meunier@example.com,c283f249-37ad-4ddf-8cbe-beaa1fa0c68e,sadostrich574,brain,T42cayE6,6b79b03ef0b741049bc910c66810ae21,1cff903556e0a1851ddd99637424a8fce03c0686,c4fb54088a3aedbed14f099e4efc15b16164282bbbbc6153f23cd18763cd26f0,1956-03-20T15:48:44.041Z,68,2009-12-12T08:02:56.595Z,14,04-15-05-91-95,06-69-00-27-32,INSEE,2560213754002 17,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,FR
male,Mr,Paul,Marie,5396,Quai Chauveau,Poitiers,Dordogne,France,75738,-84.9986,27.6715,+4:30,Kabul,paul.marie@example.com,1c65f232-7522-4bc9-bf52-131820a6da8b,bigswan785,diego,zk79T4bv,a72d769599cbfbd829c8e49b286ea052,ccbf84321c9f4e4430dfd83f568fd1193e2f2514,fe40ba2a4f921c6cea77c411f23ad979142a23b2205c6b80e81777607ec03cdc,1967-05-05T15:45:25.360Z,57,2018-10-31T05:39:26.903Z,5,02-23-27-81-09,06-81-66-09-82,INSEE,1670442154563 17,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,FR
male,Mr,Alexis,Muller,1626,Rue Abel-Hovelacque,Tourcoing,Aveyron,France,65972,16.4959,9.7755,-10:00,Hawaii,alexis.muller@example.com,ffd57887-9ac4-4bbc-8263-b06c78df8e26,goldenbutterfly639,montag,lvLrR3f8,7c3c822433ffe70e30aee64c46309aa8,f4a9201750ce6e92cf99cbb157ca0457d3c52242,bfdd929b019934abd177857b99c8b8c2d0fced4f627f108aa611d3ad8b9d904a,1959-11-10T06:24:37.179Z,64,2003-04-01T18:42:00.827Z,21,05-96-91-17-24,06-21-77-16-78,INSEE,1591049812907 20,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,FR
